Else-Karin Bekkelund%1
Cecilie Leganger%84
Cathrine Svendsen%4
Ann-Chatrin Eriksen%4
Tonje Larsen%7
Kjersti Grini%45
Susann Goksør%66
Kristine Moldestad%2
Kari Solem%3
Hege Kr. Kvitsand%18
Mona Dahle%130
Tonje Sagstuen%41
Annette Skotvoll%2
Mette Davidsen%3
Heidi Tjugum%54
