Navn       Per Dato     Tid  Kjøp     Salg     Omsatt   Endring Volum
Bank       D   14.11.95 0946                      60,99                 32
Bank       D   14.11.95 1006                      60,99                163
Total      D   14.11.95 1203                     706,96    1,77      72371
Total      D   14.11.95 1217                     706,28    1,09      77568
Total      D   14.11.95 1232                     705,28    0,09      83757
Total      D   14.11.95 1247                     704,84   -0,35      88775
Total      D   14.11.95 1301                     705,00   -0,19      96022
Total      D   14.11.95 1303                     705,03   -0,16      96141
Total      D   14.11.95 1317                     704,87   -0,32     107827
Total      D   14.11.95 1319                     704,79   -0,40     108276
Total      D   14.11.95 1332                     705,16   -0,03     116952
Total      D   14.11.95 1347                     705,14   -0,05     123737
Total      D   14.11.95 1402                     705,42    0,23     131742
Total      D   14.11.95 1403                     705,37    0,18     131742
Total      D   14.11.95 1417                     705,30    0,11     145749
Total      D   14.11.95 1432                     705,18   -0,01     148079
Total      D   14.11.95 1447                     705,11   -0,08     156929
Total      D   14.11.95 1502                     704,29   -0,90     164766
Total      D   14.11.95 1517                     704,36   -0,83     176140
Total      D   14.11.95 1518                     704,38   -0,81     176731
Total      D   14.11.95 1532                     704,61   -0,58     201369
Total      D   14.11.95 1547                     704,69   -0,50     209983
Total      D   14.11.95 1603                     704,51   -0,68     236805
Total      D   14.11.95 1617                     704,55   -0,64     253747
OBX        D   14.11.95 0946                     394,07                   
OBX        D   14.11.95 1006                     394,04   -0,03           
OBX        D   14.11.95 1021                     393,79   -0,28           
OBX        D   14.11.95 1036                     393,92   -0,15           
OBX        D   14.11.95 1050                     393,82   -0,25           
OBX        D   14.11.95 1104                     393,93   -0,14           
OBX        D   14.11.95 1119                     394,27    0,20           
OBX        D   14.11.95 1133                     394,37    0,30           
OBX        D   14.11.95 1148                     395,52    1,45           
OBX        D   14.11.95 1203                     395,93    1,86           
OBX        D   14.11.95 1217                     395,46    1,39           
OBX        D   14.11.95 1232                     394,75    0,68           
OBX        D   14.11.95 1247                     394,40    0,33           
OBX        D   14.11.95 1301                     394,45    0,38           
OBX        D   14.11.95 1317                     394,23    0,16           
OBX        D   14.11.95 1319                     394,17    0,10           
OBX        D   14.11.95 1332                     394,46    0,39           
OBX        D   14.11.95 1347                     394,24    0,17           
OBX        D   14.11.95 1402                     394,38    0,31           
OBX        D   14.11.95 1417                     394,35    0,28           
OBX        D   14.11.95 1432                     394,29    0,22           
OBX        D   14.11.95 1447                     394,26    0,19           
OBX        D   14.11.95 1502                     393,62   -0,45           
OBX        D   14.11.95 1517                     393,69   -0,38           
OBX        D   14.11.95 1532                     393,96   -0,11           
OBX        D   14.11.95 1547                     394,00   -0,07           
OBX        D   14.11.95 1603                     393,86   -0,21           
BRIX       D   14.11.95 0946                    1948,00    1,42    2307616
BRIX       D   14.11.95 1006                    1948,10    1,53    2735977
BRIX       D   14.11.95 1021                    1948,20    1,59    3760658
BRIX       D   14.11.95 1036                    1948,20    1,62    4841648
BRIX       D   14.11.95 1050                    1948,20    1,62    5001834
BRIX       D   14.11.95 1104                    1948,30    1,66    5351276
BRIX       D   14.11.95 1119                    1948,30    1,69    5423037
BRIX       D   14.11.95 1133                    1948,30    1,65    5535717
BRIX       D   14.11.95 1148                    1948,30    1,65    5738774
BRIX       D   14.11.95 1203                    1948,20    1,60    5941806
BRIX       D   14.11.95 1217                    1948,20    1,60    6019966
BRIX       D   14.11.95 1232                    1948,20    1,60    6191488
BRIX       D   14.11.95 1247                    1948,30    1,65    6578680
BRIX       D   14.11.95 1301                    1948,30    1,65    6792106
BRIX       D   14.11.95 1317                    1948,30    1,65    7075878
BRIX       D   14.11.95 1319                    1948,30    1,65    7150061
BRIX       D   14.11.95 1332                    1948,30    1,65    7339469
BRIX       D   14.11.95 1347                    1948,20    1,62    7600962
BRIX       D   14.11.95 1402                    1948,30    1,67    7714069
BRIX       D   14.11.95 1403                    1948,30    1,70    7745082
BRIX       D   14.11.95 1417                    1948,50    1,87    7952687
BRIX       D   14.11.95 1432                    1948,60    1,99    7991627
BRIX       D   14.11.95 1447                    1948,70    2,09    8252062
BRIX       D   14.11.95 1502                    1948,60    2,03    8614603
BSK        D   14.11.95 1006    48,00    48,50                            
BSK        D   14.11.95 1148    48,50    49,00    48,50               4400
BSK        D   14.11.95 1217    48,50    49,00    48,50               8400
BSK        D   14.11.95 1447    48,50    49,00    49,00               9000
BNB        D   14.11.95 1006   152,50                                     
BNB        D   14.11.95 1021   152,50   158,00                            
BNB        D   14.11.95 1036   152,50   154,00                            
BNB        D   14.11.95 1048   152,50   153,00                            
BNB        D   14.11.95 1049   147,50   152,50   152,50                500
BNB        D   14.11.95 1119   149,00   152,50   152,50                500
BNB        D   14.11.95 1316   149,00   151,00   152,50                500
BNB        D   14.11.95 1432   150,00   151,00   152,50                500
BNB        D   14.11.95 1447   151,00   152,50   151,00               1200
BNB        D   14.11.95 1517   151,00   152,00   151,00               1200
BNB        D   14.11.95 1532   151,50   152,00   151,00               1200
BNB        D   14.11.95 1547   151,50   152,00   151,50               1700
BNB        D   14.11.95 1603   151,00   152,00   152,00               6200
CKR        D   14.11.95 1006    13,80    14,00                        5251
CKR        D   14.11.95 1021    13,80    13,90    13,90             125000
CKR        D   14.11.95 1036    13,80    13,90    13,80             200000
CKR        D   14.11.95 1119    13,80    13,90    13,90             245000
CKR        D   14.11.95 1133    13,90    14,00    13,90             262000
CKR        D   14.11.95 1148    13,90    14,00    14,00             302000
CKR        D   14.11.95 1346    13,90    14,00    13,90             352000
CKR        D   14.11.95 1401    13,90    14,00    13,90             439000
CKR        D   14.11.95 1417    13,80    14,00    13,90             463000
CKR        D   14.11.95 1432    13,90    14,00    13,90             474000
CKR        D   14.11.95 1502    13,90    14,00    13,90             494000
CKR        D   14.11.95 1517    13,90    14,00    13,90             664000
CKR        D   14.11.95 1531    13,90    14,00    14,00             759000
CKR        D   14.11.95 1532    13,90    14,00    14,00             785000
CKR        D   14.11.95 1611    13,90    14,00    14,00            1785000
CKR        D   14.11.95 1616    13,90    14,00    14,00            1845000
DNB        D   14.11.95 1006    16,30    17,00                        3500
DNB        D   14.11.95 1021    16,40    17,00                        3500
DNB        D   14.11.95 1036    16,30    16,40    16,40               8500
DNB        D   14.11.95 1049    16,30    16,40    16,40              13500
DNB        D   14.11.95 1104    16,30    16,40    16,40              16500
