170520	"Jonassen Motorverksted A/S"	"Maskinvn. 16"	"Postboks 37"	4033	"Ingvar Jonassen"	"H"	        
170521	"Iva Frukt & Grõnt A/S"	"ùkern Torgvei 9"	""	580	"Lukerstuen"	"TE"	19951009
170522	"Nesttun Fiskeredskap"	"ùstre Nesttunvn. 18"	"Postboks 238"	5051	"Laila Smõrdahl Helland"	"DEPI"	19951220
170523	"Brõdrene Krebs Bõrste & Penselindustri"	"Daniel Hansens gt. 9"	""	5008	"Eilif Krebs"	"P"	19951214
170524	"Wero Vannbehandling A/S"	""	"Postboks 276 ùkern"	510	"Bjõrn Fredrikson"	""	        
170525	"Reco Miljõservice A/S"	"Hjellestadvn. 234"	""	5066	"Arne Rõrnes"	"TK"	        
170526	"Markise HACO"	"Alfheim 2"	""	7094	"Ola Arvid Hage"	"DEP"	        
170527	"Ernst Lõwensprung Eftf."	"Fjelltunvn. 21"	""	6001	""	""	        
170528	"Krogseth Bjõrn"	"HõybrÜtenvn. 25c"	""	1055	"Bjõrn Krogseth"	"H"	19950117
170529	"Magne Nedberg"	"Tverrvn. 2"	""	3300	""	""	        
170530	"STH Engineering AS"	"Sluppenvn. 5"	"Postboks 6103"	7003	"Aud Stõrseth"	"AIK"	        
170531	"Frykmalm i Karlstad AB"	"Box 5038 / HedjÑmnan"	"65005 Karlstad  Sverige"	0	"Kjerstin Frykmalm"	""	19951207
170532	"Tibnor Industrivaruhus VÑst"	"Box 76 / Ankargatan 2"	"65103 Karlstad  Sverige"	0	"Lars Dahlstrõm"	"E"	19951122
170533	"Tekon Salgskontor"	"Sõrkedalsvn. 230"	""	756	"Bjõrn Vëthe"	""	        
170534	"HP-Hyllesystem"	"StÜlfjëra 3"	""	975	""	""	        
170535	"Teleservice A/S"	""	"Postboks 517"	3412	""	""	        
170536	"Personell Assistanse"	"Tollbugt. 8b"	""	152	"Tom Rune Graarud"	""	19950201
170537	"Kontortjeneste A/S"	""	"Postboks 75"	1312	""	""	        
170538	"D.P. Bygg A/S"	""	""	2857	"Arvid Degvold"	"PHT"	19960104
170539	"KA-Trykk A/S"	"N. Slottsgt. 5"	""	157	"PÜl Solberg"	"T"	        
170540	"Data Process A/S"	""	"Postboks 336"	8501	"Karsten Utheim"	""	        
170541	"Mongstad Elektro"	""	"Postboks 1006"	5154	"Audun Fanebust"	"DIT"	19950302
170542	"Hurdal Turistsenter A/S"	""	""	2090	"Rõsrud"	""	        
170543	"Papermill A/S"	"Ryensvingen 11"	""	680	"Alexsad Jacopsons"	""	19950303
170544	"Trykker'n A/S"	"Sandakervn. 76"	"Postboks 3428 Bjõlsen"	406	"Kristian Iversen"	"PT"	        
170545	"Simonsen Dicicom A/S"	"Frysjavn. 40"	""	808	""	""	19950421
170546	"Auto 85 A/S"	"Rosenlundgt. 9b"	""	401	""	""	        
170547	"Bekkevolds Lyskopi"	"Siggeruds gt. 1"	""	2800	"Bekkevold"	""	        
170548	"Jacob Treiden A/S"	"Nils Hansens v. 2"	""	667	"Jacob Treiden"	""	19950727
170549	"Kjell Germeten A/S"	""	"Postboks 3088 Elisenberg"	207	"Kjell Germeten"	""	        
170550	"A B C Electronic A/S"	"Brobekkvn. 101"	""	583	"Diseth"	"T"	19951016
170551	"Nordstrand Blomster Ans"	"Rosendalsvn. 43"	""	1166	"Erik Evenrud"	"DTK"	19951010
170552	"Barnevognhuset A/S"	"Wessels gt. 2"	""	165	""	""	        
170553	"Harpefossen Fjellstove"	""	""	6770	"Leif Knapskog"	"T"	        
170554	"Foldereid Kafe og Motell"	""	""	7975	""	""	        
170555	"Rõnvik  Auto A/S"	""	"Postboks 1803"	8010	""	""	        
170556	"Hanne's Cafe"	"Saga Senter"	""	7650	"Hanne Smolan"	"T"	        
170557	"A/S Villabygg"	""	"Postboks 256"	1401	""	""	        
170558	"ùye Bygg & Bo"	""	""	2977	"Arne M. Bõe"	""	        
170559	"Bergen Caravan A/S"	"Liamyrane 6"	""	5090	"Mellingen"	""	        
