1281	"Oljeraffinerier"
1284	"Oljevern"
1293	"Pakking"
1300	"Parkering"
1303	"Patentbyr†er"
1307	"Pelsdyroppdrett"
1331	"Plomber"
1338	"Postordreforretninger"
1340	"Potetmelfabrikker"
1344	"Pris- og merkemaskiner"
1348	"Protokollfabrikker"
1349	"Psykologer"
1363	"Redningsutstyr"
1368	"Reisearrang›rer"
1370	"Reklamekonsulenter"
1373	"Returpapir"
1386	"R›rmerking"
1401	"Salmakere"
1447	"Skipsklassifisering"
1457	"Skjorter, produksjon"
1463	"Skreddere"
1469	"Skytematter"
1475	"Slipsfabrikker"
1517	"Stuerforretninger"
1520	"St›pegods"
1542	"Systuer"
1552	"Tannleger"
1553	"Tannteknikere"
1557	"Tarmindustri"
1559	"Teglverk"
1560	"Tegneutstyr"
1564	"Tekstilr†stoffer"
1565	"Tekstiltrykkerier"
1568	"Telegrambyr†er"
1583	"Tomfat"
1589	"Tran"
1591	"Translat›rer"
1592	"Transmisjoner"
1593	"Transportanlegg"
1603	"Trygdekontorer"
1605	"Trykkfylling"
1608	"Tr†dvarefabrikker"
1609	"Turistkontorer"
1626	"Varemeglere"
1637	"Vekter"
1653	"Vitaminpreparater"
1673	"Utstyrsforretninger"
1691	"Andre stikkord"
1692	"Flere stikkord"
1693	"Slalombakker"
1694	"firmaopplysninger"
1697	"vareopplysninger"
1702	"test1"
2001	"hotellrom"
2003	"dobbeltrom"
2004	"bed & breakfast"
2006	"ventilasjonsanlegg"
2007	"beslag"
2008	"luftanlegg"
2009	"byggbeslag"
2010	"kleshengere"
2016	"utstillingsmateriell"
2018	"tyverialarm"
2019	"taxiflygning"
2021	"fotoflygning"
2022	"reklameflygning"
2023	"skoleflygning"
2024	"helikopterskole"
2025	"prefabrikerte bygg"
2026	"maskinering"
2027	"sveising"
2028	"konstruksjoner"
2029	"reparasjoner"
2030	"st†lkonstruksjoner"
2031	"rustfri produksjon"
2033	"broer"
2034	"ferjekaibroer"
2035	"st†lbygg"
2036	"lekterarbeide"
2037	"m›bler"
2038	"gulvtepper"
2039	"gulvmatter"
2040	"matter"
2041	"madrasser"
2042	"gardiner"
2043	"utstyrsvarer"
2044	"kj›kkenartikler"
2045	"kontorm›bler"
2046	"barnehagem›bler"
2047	"m›bler offentlig milj›"
2048	"m›bler anbud"
2049	"m›beltekstiler"
2050	"storkj›kken"
2053	"storkj›kkenmaskiner"
2054	"belysning"
2055	"elektromateriell"
2056	"plastartikler"
2057	"arbeidst›y"
2058	"v‘rneutstyr"
2059	"tekstilvarer"
2060	"silkeplanter"
2061	"trekleshengere"
2062	"plastkleshengere"
2064	"st›rrelsemerking kl‘r"
2065	"prismerking kl‘r"
2066	"verdisikring butikk"
2068	"svakstr›minstallasjoner"
2069	"sterkstr›minstallasjoner"
2070	"elektrikerservice"
2071	"elektroentrepren›r"
2073	"antennesystemer"
2074	"parabolantenner"
2075	"kabel-tv"
2076	"spredenett"
2077	"datakommunikasjon"
2078	"telekommunikasjon"
2079	"fiberoptikk"
2080	"brannvarsling"
2081	"telefonsentraler"
2082	"byggautomasjon"
2083	"sikkerhetssystem"
2084	"adgangskontroll"
2085	"tidsregistrering"
2086	"itv"
2087	"industrielektronikk"
2088	"dataservice"
2089	"ups-service"
2090	"vvs"
2091	"storkj›kkenservice"
2093	"elektriske installasjoner"
2094	"svakstr›msinstallasjoner"
2095	"sterkstr›msinstallasjoner"
2096	"laboratorieutstyr"
2097	"vannanalyseutstyr"
2098	"instrumenter"
2099	"termometre"
2100	"kjemikalier"
2101	"glassaparatur"
2102	"loboratorieinstrumenter"
2103	"hydrometer"
2104	"analysevekter"
2105	"sentrifuger"
2106	"h†ndsentrifuger"
2107	"tidsur"
2108	"filtrerpapir"
2109	"oksygenmeter"
2110	"r›rverk"
2111	"hurtigmiksere"
2112	"m†lesylindere"
2113	"begerglass"
2114	"titreringsutstyr"
2115	"termoflasker"
2116	"dewarbeholdere"
2117	"ph meter"
2118	"t›rkeskap"
2119	"bakteriologiskap"
2120	"muffelovner"
2121	"flasker"
2122	"gassanalyseutstyr"
2123	"duggpunkttester"
2124	"d›dvekttester"
2125	"ekstraktorer"
